"TIPLOC"	"mapped TIPLOC"	"Description"	"note"
"NEVLGBF"	"NEVLHUS"	"NEVILLE HILL UP SDGS GBRF"	
"NEWHGBR"	"NEWHVHA"	"NEWHAVEN DAY AGGS GBRF"	
"NEWHVMD"	"NEWHVNM"	"NEWHAVEN MARINE AG TML DBC"	
"NMPTCYG"	"NMPTNCY"	"NORTHAMPTON CASTLE YRD GBF"	
"NRCHRCP"	"NRCHTMD"	"NORWICH CROWN PT RECEP."	
"ONLLWFH"	"ONLLWYN"	"ONLLWYN WASHERY FHH"	
"OXWLCLR"	"OXWLFHH"	"OXWELLMAINS LAFARGE COLAS"	
"PEAKRGB"	"PEAKRMC"	"PEAK FOREST CEMEX GBRF"	
"PENDGBF"	"PENDLAS"	"PENDLETON (BRNDLE HTH) GBF"	
"PENDGBF"	"PENDLAS"	"PENDLETON (BRNDLE HTH) GBF"	
"PLMDDC"	"PLMDDHS"	"POLMADIE DOWN CLYDESDALE"	
"PLMSRS"	"PLMSTCS"	"PLUMSTEAD REV SDG"	
"PLMSXCR"	"PLMSTCS"	"PLUMSTEAD CS"	
"PNYFDCG"	"PNYFDCS"	"PENYFFORDD CEMENT GBRF"	
"PNYFDCG"	"PNYFDCS"	"PENYFFORDD CEMENT GBRF"	
"PRSTCSS"	"PRSTNCS"	"PRESTON CROFT STREET SDGS"	
"PURLGBR"	"PURLTAM"	"PURLEY YARD GBRF"	
"PURLSGB"	"PURLSDG"	"PURLEY DOWN SIDING GBRF"	
"RADLTGB"	"RADLTRR"	"RADLETT LAFARGE GBRF"	
"RATCGBR"	"RATCFHH"	"RATCLIFFE PS GBRF"	
"RECTTCR"	"RECTRYJ"	"RECTORY JN (COLWICK COLAS)"	
"RIBLHGB"	"RIBLHVQ"	"RIBBLEHEAD VQ GBRF"	
"RPLANEG"	"RPLANEX"	"RIPPLE LANE EXCH SDGS GBRF"	
"SEAHCLR"	"SEAHFHH"	"SEAHAM HARBOUR COLAS RAIL"	
"SHBRGBF"	"SHBRYLJ"	"SHOEBURYNESS MOD GBRF"	
"SMLHGBR"	"SMLHLAG"	"SMALL HEATH LAFARGE GBRF"	
