NaPTAN	TIPLOC	Name	StopAreaCode
	AMSTDAM	AMSTERDAM C.S.	
	ARMADLE	Armadale Ferry Terminal	930GARM
	BLFSTPT	BELFAST PORT	
	BRKNIOM	Birkenhead Ferry Terminal	930GBRK
	BROADFO	Broadford-Post Office Coach Stop	900GNX000229
	BDICK	Brodick Isle of Arran Ferry Terminal	930GBRB
	BUDESTD	Bude-Strand Coach Stop	900GNX000244
	CNRYNP	Cairnryan Ferry Terminal	930GCYN
	CANNA	Canna Ferry Terminal	930GCAN
	CSBY	Castlebay Barra Ferry Terminal	930GCBA
	CHLTRAC	Cheltenham Racecourse (Gloucs Warwicks Railway)	940GZZGRCRC
	COLL	Coll Ferry Terminal	930GCOL
	COLONSY	Colonsay Ferry Terminal	930GCSY
	CRGURE	Craignure Mull Ferry Terminal	930GCNU
	CUMBRAE	Cumbrae Ferry Terminal	930GCUM
	DOUGLAS	DOUGLAS (ISLE OF MAN)	
	DUBLINF	DUBLIN FERRYPORT	
	DUBLFST	DUBLIN PORT - STENA	
	DUNOON	Dunoon-Ferry Terminal	930GDNU
	GLGAPT	Glasgow Airport Coach Stops	900GNX000591
	HOEKVHL	HOEK VAN HOLLAND	
	LISMORE	Lismore Ferry Terminal	930GLMR
	LVRPLSG	Liverpool Isle of Man & Dublin Terminal	930GLID
	LCHBSDL	Lochboisdale South Uist Ferry Terminal	930GLBS
	LCHMADY	Lochmaddy North Uist Ferry Terminal	930GLMA
	MELROSE	Melrose-Square Coach Stop	900GNX000964
	PBROUND	Oundle- Market Place Coach Stop	900GNX002433
	PNZQUAY	Penzance Ferry Terminal	930GPEN
	PBROBST	Peterborough-Queensgate Bus Station	900GNX001141
	ROSLARE	ROSSLARE HARBOUR	
	RSAY	Rothesay Ferry Terminal	930GRAY
	STMAQUY	ST. MARYS QUAY	
	STWY	Stornoway Lewis Ferry Terminal	930GSTO
	TARBERT	Tarbert (Harris) Ferry Terminal	930GTAB
	TIREE	Tiree Ferry Terminal	930GTRE
	UIGG	Uig Skye Ferry Terminal	930GUIG
	ULLAPOL	Ullapool Ferry Terminal	930GULL
	YMTHIOW	Yarmouth IOW Ferry Terminal	930GYMO
	HLSTCOI	Helston-Coinagehall Street Coach Stop	900GNX000673
	GOURPIE	Gourock Ferry Terminal	930GGUR
	GRVSWSP	Gravesend West Street Pier	930GGVS
